"","genotype","DAP","variable","DAP.diffs","variable.AGR","variable.RGR","variable.smooth","variable.AGR.smooth","variable.RGR.smooth","Digital.biomass","col","row","line","rep"
"2320","S037",45,32129700,1,-544400,-0.016801879121048,32489602.7486767,437048.222662975,0.0143807654437562,32129700,6,1,"S037",NA
"2321","S038",10,362096,NA,NA,NA,325922.939667517,NA,NA,362096,6,3,"S038",NA
"2322","S038",11,617596,1,255500,0.533925151967264,650124.485902473,306400.584485408,0.550476097621642,617596,6,3,"S038",NA
"2323","S038",12,1330890,1,713294,0.767768648346102,977185.595314509,317949.472939555,0.450392848695742,1330890,6,3,"S038",NA
"2324","S038",13,1296530,1,-34360,-0.0261564264197661,1313416.80176969,331045.864947441,0.354083995068282,1296530,6,3,"S038",NA
"2325","S038",14,2088440,1,791910,0.476725910839867,1686305.81755872,368385.439522768,0.280795873007627,2088440,6,3,"S038",NA
"2326","S038",15,2015800,1,-72640,-0.0354012368510806,2133979.22278652,441452.38405055,0.232238684968348,2015800,6,3,"S038",NA
"2327","S038",16,2646530,1,630730,0.272233209039447,2717420.70239583,575931.570802468,0.212516891908857,2646530,6,3,"S038",NA
"2328","S038",17,3085600,1,439070,0.153496779933793,3495404.4836445,770062.281678346,0.211561419680748,3085600,6,3,"S038",NA
"2329","S038",18,4676490,1,1590890,0.41580170062697,4514143.85322818,1011252.34862571,0.217811292277953,4676490,6,3,"S038",NA
"2330","S038",19,6180440,1,1503950,0.278841637807336,5795844.94381942,1274894.96016846,0.220134254118303,6180440,6,3,"S038",NA
"2331","S038",20,5583376.66666667,1,-597063.333333333,-0.101595735579309,7372394.78785512,1574904.98224945,0.221170508550489,3643400,6,3,"S038",NA
"2332","S038",20,5583376.66666667,1,-597063.333333333,-0.101595735579309,7372394.78785512,1574904.98224945,0.221170508550489,7067270,6,3,"S038",NA
"2333","S038",20,5583376.66666667,1,-597063.333333333,-0.101595735579309,7372394.78785512,1574904.98224945,0.221170508550489,6039460,6,3,"S038",NA
"2334","S038",21,8292620,1,2709243.33333333,0.395572231874937,9274386.95582446,1913532.19826228,0.225479101662145,8292620,6,3,"S038",NA
"2335","S038",22,11615000,1,3322380,0.336931403580558,11412204.4903959,2159816.77647475,0.219148956346707,11615000,6,3,"S038",NA
"2336","S038",23,14012700,1,2397700,0.18766669504461,13610803.5436936,2220617.88210942,0.19654018374118,14012700,6,3,"S038",NA
"2337","S038",24,17127500,1,3114800,0.200721297627935,15698754.4624532,2100451.3071213,0.162992327300016,17127500,6,3,"S038",NA
"2338","S038",25,19551800,1,2424300,0.13238199490938,17554784.4522122,1853853.98904915,0.125922279084639,19551800,6,3,"S038",NA
"2339","S038",26,16570200,1,-2981600,-0.165461452432633,19183340.1650546,1618815.19723789,0.0953274565674726,16570200,6,3,"S038",NA
"2340","S038",27,20007800,1,3437600,0.188516296152094,20694435.6888073,1510848.08970362,0.0777899694940243,20007800,6,3,"S038",NA
