"genotype","DAP","Digital.biomass","DAP.diffs","Digital.biomass.AGR","Digital.biomass.RGR","Digital.biomass.smooth","Digital.biomass.AGR.smooth","Digital.biomass.RGR.smooth","Digital.biomass","col","row","line","rep"
"Check1_1",34,30840400,1,-974300,-0.0311029283462883,30651623.8438779,381081.121703813,0.0114265374823289,30840400,1,9,"Check1",1
"Check1_1",35,28744500,1,-2095900,-0.0703790741851064,30741168.1156568,50897.7229337594,-0.000763729165544618,28744500,1,9,"Check1",1
"Check1_1",36,28941000,1,196500,0.00681283026200372,30642413.5236149,-140571.102483015,-0.00741267279733062,28941000,1,9,"Check1",1
"Check1_1",37,31552200,1,2611200,0.0863840422860025,30416743.5862847,-271896.64653394,-0.0115558034997476,31552200,1,9,"Check1",1
"Check1_1",38,30847900,1,-704300,-0.0225746404208927,30067432.09189,-404314.034496294,-0.0155198113175907,30847900,1,9,"Check1",1
"Check1_1",39,30576200,1,-271700,-0.0088467481671419,29625226.9386768,-502740.906231949,-0.0183103845985418,30576200,1,9,"Check1",1
"Check1_1",40,27692900,1,-2883300,-0.0990458659057253,29160317.2008697,-516236.800171434,-0.0182766755106494,27692900,1,9,"Check1",1
"Check1_1",41,27863200,1,170300,0.006130759121342,28766539.9655983,-408304.326380001,-0.0141816421634471,27863200,1,9,"Check1",1
"Check1_1",42,27405600,1,-457600,-0.0165594496966999,28493589.1540145,-214551.243341342,-0.00723078334636537,27405600,1,9,"Check1",1
"Check1_1",43,28287800,1,882200,0.0316832442210818,28344446.0196156,27018.3331191151,0.00129899489208241,28287800,1,9,"Check1",1
"Check1_1",44,28464900,1,177100,0.00624113301613519,28281839.0626107,282207.180020154,0.0102409232707562,28464900,1,9,"Check1",1
"Check1_1",45,29125200,1,660300,0.022932029504449,28259938.4321424,542406.667273463,0.0193294277887217,29125200,1,9,"Check1",1
"Check1_2",6,42.025,NA,NA,NA,-197809.145580168,NA,NA,42.025,2,5,"Check1",2
